,Artist Birth Country,Year Artwork 'Completed'
44722,Africa,1969
44723,Africa,1969
44724,Africa,1969
44725,Africa,1969
44766,,1972
44767,,1972
44768,Oceania,1965
44769,Oceania,1965
44770,Oceania,1965
44771,Oceania,1965
44772,Oceania,1965
44773,Oceania,1965
44774,Oceania,1965
44837,North America,1975
44838,North America,1975
44839,North America,1975
44840,North America,1975
44841,North America,1975
44842,North America,1975
44843,Oceania,1975
44844,Oceania,1975
44845,Oceania,1975
44846,Oceania,1975
44847,Oceania,1975
44849,Oceania,1975
44850,Oceania,1975
44851,Oceania,1975
44852,Oceania,1975
44853,Oceania,1975
44894,North America,1975
44895,North America,1975
44896,North America,1975
44897,North America,1975
44898,North America,1978
44899,North America,1978
44900,North America,1978
44912,North America,1977
44913,North America,1977
44914,North America,1977
44915,North America,1977
44916,North America,1977
44917,North America,1977
44918,North America,1977
44919,North America,1977
44920,North America,1977
44921,North America,1977
44922,North America,1977
44923,North America,1977
44924,North America,1977
44925,North America,1977
44952,Oceania,1978
44953,Oceania,1978
44954,Oceania,1978
44955,Oceania,1978
44956,Oceania,1978
44957,Oceania,1978
44958,Oceania,1978
44959,Oceania,1978
44960,Oceania,1978
44961,Oceania,1978
44985,Asia,1979
44986,Asia,1979
44987,Asia,1979
44988,Asia,1979
44989,Asia,1979
44990,Asia,1979
44991,Asia,1979
44992,Asia,1979
44993,Asia,1979
44994,Asia,1979
44995,Asia,1979
44996,Asia,1979
44997,Asia,1979
44998,Asia,1979
44999,Asia,1979
45033,North America,1980
45046,Asia,1959
45047,Asia,1960
45048,Asia,1960
45049,Asia,1961
45050,Asia,1961
45068,Africa,1973
45080,Oceania,1970
45081,Oceania,1970
45082,Oceania,1970
45083,Oceania,1970
45084,Oceania,1970
45085,Oceania,1970
45086,Oceania,1970
45087,Oceania,1972
45090,,1974
45091,,1974
45094,North America,1968
45095,North America,1968
45096,North America,1968
45097,North America,1968
45110,,1961
45120,North America,1968
45121,North America,1968
45122,North America,1968
45123,North America,1968
45124,North America,1968
45125,North America,1968
45134,Asia,1967
45135,Asia,1970
45136,Asia,1970
45137,Asia,1970
45147,,1974
45177,,1972
45178,,1956
45248,,1972
45249,,1973
45250,,1973
45251,,1974
45285,,1971
45357,,1971
45358,,1971
45359,Asia,1962
45362,,1970
45363,Asia,1973
45364,Asia,1973
45365,Asia,1973
45366,Asia,1973
45367,Asia,1973
45368,Asia,1973
45369,Asia,1973
45384,,1974
45385,,1974
45386,,1974
45387,North America,1968
45388,North America,1968
45389,North America,1968
45390,North America,1968
45391,North America,1968
45392,North America,1968
45393,North America,1968
45396,Asia,1973
45397,,1966
45398,,1966
45439,Asia,1970
45453,,1970
45454,,1968
45455,,1968
45457,,1969
45496,North America,1969
45497,North America,1969
45498,North America,1969
45499,,1974
45500,,1974
45544,Oceania,1966
45545,Oceania,1966
45546,Oceania,1966
45547,Oceania,1966
45548,Oceania,1966
45549,Oceania,1966
45550,Oceania,1966
45551,North America,1968
45552,North America,1968
45553,North America,1968
45557,Oceania,1964
45558,Oceania,1964
45559,Oceania,1964
45560,Oceania,1964
45561,Oceania,1965
45562,Oceania,1965
45588,,1969
45595,North America,1966
45596,North America,1966
45597,North America,1966
45598,North America,1966
45599,North America,1966
45600,North America,1966
45601,North America,1966
45602,North America,1966
45603,North America,1966
45604,North America,1966
45605,,1971
45614,North America,1963
45615,North America,1963
45616,North America,1967
45625,,1971
45626,,1971
45627,,1972
45637,,1970
45638,,1974
45651,Oceania,1973
45652,,1972
45653,,1972
45671,North America,1976
45672,North America,1976
45682,Asia,1975
45699,,1975
45700,,1976
45701,,1975
45702,,1975
45703,,1975
45704,,1975
45705,,1975
45706,,1975
45707,,1975
45708,,1975
45709,,1975
45710,,1975
45711,,1975
45712,,1975
45715,,1975
45716,,1975
45717,,1975
45738,North America,1968
45745,,1956
45757,North America,1966
45760,,1972
45764,North America,1976
45765,North America,1976
45768,,1965
45769,,1973
45770,,1965
45771,,1965
45775,,1976
45776,,1973
45777,South America,1976
45778,South America,1976
45779,,1965
45780,,1965
45782,,1972
45783,,1972
45784,,1973
45786,Oceania,1963
45787,,1966
45788,,1966
45789,,1966
45790,,1965
45792,,1972
45793,,1972
45794,,1972
45795,,1972
45796,,1965
45797,Oceania,1978
45809,,1976
45820,,1978
45821,South America,1977
45829,,1977
45832,,1976
45833,,1978
45834,,1978
45835,,1978
45838,Asia,1977
45854,North America,1977
45856,,1978
45857,,1978
45858,,1978
45874,North America,1968
45875,North America,1969
45876,North America,1970
45877,North America,1970
45878,North America,1970
45879,North America,1971
45880,North America,1971
45881,North America,1971
45882,North America,1972
45883,North America,1972
45884,North America,1972
45885,North America,1973
45905,North America,1964
45906,North America,1965
45907,North America,1965
45908,North America,1965
45909,North America,1966
45910,North America,1966
45911,North America,1966
45912,North America,1966
45913,North America,1966
45914,North America,1967
45915,North America,1967
45916,North America,1967
45917,North America,1967
45918,North America,1967
45919,North America,1967
45921,North America,1971
45922,North America,1971
45923,North America,1971
45924,North America,1971
45925,North America,1971
45926,North America,1971
45927,North America,1971
45928,North America,1971
45929,North America,1971
45930,North America,1971
45931,North America,1971
45932,North America,1971
45933,North America,1971
45934,North America,1971
45935,North America,1971
45936,North America,1971
45937,North America,1971
45938,North America,1971
45939,North America,1971
45940,North America,1971
45941,North America,1971
45943,North America,1973
45944,North America,1973
45945,North America,1973
45946,North America,1973
45947,North America,1973
45948,North America,1973
45949,North America,1973
45979,North America,1967
45980,North America,1967
45981,North America,1967
45982,North America,1967
45983,North America,1967
45984,North America,1967
45985,North America,1967
45986,North America,1967
45987,North America,1967
45988,North America,1967
46032,Asia,1960
46033,Asia,1960
46034,Asia,1960
46035,Asia,1968
46036,Asia,1968
46037,Asia,1969
46038,Asia,1969
46039,Asia,1970
46040,Asia,1970
46041,Asia,1970
46042,Asia,1971
46043,Asia,1971
46044,Asia,1971
46045,Asia,1972
46046,Asia,1972
46047,Asia,1972
46048,Asia,1972
46049,Asia,1972
46050,Asia,1972
46051,Asia,1972
46052,Asia,1972
46053,Asia,1972
46054,Asia,1972
46055,Asia,1972
46056,Asia,1973
46092,North America,1971
46093,North America,1973
46098,North America,1974
46099,North America,1974
46100,North America,1968
46101,Asia,1972
46102,Asia,1972
46111,North America,1976
46119,North America,1973
46211,North America,1965
46229,North America,1975
46230,North America,1973
46231,North America,1971
46232,North America,1979
46238,North America,1977
46245,North America,1976
46248,North America,1968
46249,North America,1970
46250,North America,1979
46255,North America,1980
46256,North America,1980
46257,North America,1967
46258,North America,1969
46259,North America,1969
46260,North America,1969
46261,North America,1969
46262,North America,1969
46263,North America,1969
46264,North America,1969
46294,North America,1980
46295,North America,1968
46296,North America,1980
46301,North America,1966
46302,North America,1966
46303,North America,1966
46304,North America,1966
46305,North America,1967
46306,North America,1967
46307,North America,1969
46308,North America,1970
46309,North America,1970
46310,North America,1971
46311,North America,1972
46312,North America,1972
46313,North America,1972
46314,North America,1973
46315,North America,1975
46316,North America,1975
46317,North America,1976
46318,North America,1975
46319,North America,1975
46320,North America,1977
46349,North America,1966
46374,Asia,1974
46375,,1976
46376,,1976
46377,,1979
46378,,1980
46379,,1980
46380,,1980
46381,,1980
46382,Asia,1978
46383,Asia,1978
46384,Asia,1980
46406,North America,1980
46407,North America,1980
46408,North America,1980
46409,North America,1980
46410,North America,1980
46411,North America,1980
46424,North America,1974
46425,North America,1974
46426,North America,1974
46427,North America,1974
46428,North America,1974
46429,North America,1974
46430,North America,1974
46431,North America,1974
46432,North America,1974
46433,North America,1974
46436,,1979
46454,,1981
46490,North America,1979
46492,North America,1977
46493,North America,1980
46494,North America,1980
46495,North America,1978
46496,North America,1975
46497,North America,1978
46498,North America,1978
46511,North America,1975
46512,North America,1975
46513,North America,1975
46514,North America,1975
46515,North America,1975
46516,North America,1975
46566,North America,1974
46567,North America,1969
46568,North America,1972
46569,North America,1972
46570,North America,1972
46571,North America,1972
46572,North America,1972
46573,North America,1972
46574,North America,1972
46575,North America,1971
46576,North America,1971
46577,North America,1971
46578,North America,1971
46579,North America,1971
46580,North America,1971
46581,North America,1971
46582,North America,1971
46583,North America,1971
46584,North America,1971
46585,North America,1971
46586,North America,1982
46587,North America,1982
46591,North America,1980
46608,North America,1981
46610,North America,1982
46657,North America,1982
46658,North America,1982
46659,North America,1982
46660,North America,1982
46661,North America,1982
46662,North America,1982
46663,North America,1982
46664,North America,1982
46665,North America,1982
46666,North America,1982
46667,North America,1982
46668,North America,1982
46669,North America,1982
46670,North America,1982
46671,North America,1982
46672,North America,1982
46673,North America,1982
46674,North America,1982
46675,North America,1982
46676,North America,1982
46677,North America,1982
46678,North America,1982
46697,North America,1979
46698,North America,1979
46699,North America,1979
46700,North America,1979
46701,North America,1982
46747,North America,1983
46751,North America,1982
46771,North America,1982
46772,North America,1982
46773,North America,1978
46774,North America,1981
46775,North America,1982
46776,North America,1982
46777,North America,1982
46778,North America,1982
46779,North America,1975
46780,North America,1977
46781,North America,1977
46782,North America,1975
46786,North America,1981
46787,North America,1980
46788,North America,1982
46844,North America,1980
47072,North America,1980
47073,North America,1980
47074,North America,1980
47075,North America,1980
47076,North America,1980
47077,North America,1980
47092,North America,1981
47132,North America,1960
47133,North America,1960
47134,North America,1980
47135,North America,1980
47136,North America,1980
47137,North America,1980
47138,North America,1980
47139,North America,1980
47140,North America,1980
47141,North America,1980
47147,,1983
47148,,1983
47158,,1951
47159,,1951
47160,,1951
47263,Africa,1985
47265,North America,1979
47269,North America,1982
47270,North America,1987
47271,North America,1987
47274,North America,1986
47275,Africa,1987
47276,North America,1988
47279,North America,1986
47283,North America,1985
47284,North America,1964
47287,North America,1987
47332,Asia,1989
47333,Asia,1989
47337,North America,1989
47357,North America,1991
47358,North America,1991
47359,North America,1992
47360,North America,1988
47361,North America,1989
47379,Asia,1993
47398,North America,1963
47399,North America,1966
47400,North America,1966
47401,North America,1966
47402,North America,1966
47403,North America,1966
47404,North America,1966
47405,North America,1966
47406,North America,1966
47407,North America,1966
47408,North America,1966
47409,North America,1966
47410,North America,1970
47411,North America,1980
47412,North America,1980
47413,North America,1980
47414,North America,1980
47415,North America,1980
47416,North America,1980
47417,North America,1980
47418,North America,1980
47419,North America,1980
47420,North America,1980
47421,North America,1980
47422,North America,1980
47423,North America,1980
47424,North America,1980
47428,Asia,1994
47433,,1994
47436,,1994
47440,North America,1975
47441,North America,1975
47442,North America,1975
47443,North America,1975
47449,North America,1992
47450,North America,1992
47451,North America,1992
47452,North America,1992
47453,North America,1992
47454,North America,1992
47455,North America,1992
47456,North America,1992
47457,North America,1992
47458,North America,1992
47459,North America,1992
47460,North America,1992
47461,North America,1992
47462,North America,1992
47463,North America,1992
47464,North America,1992
47465,North America,1992
47466,North America,1992
47467,North America,1992
47468,North America,1992
47469,North America,1992
47470,North America,1992
47471,North America,1992
47472,North America,1992
47473,North America,1992
47485,North America,1973
47486,North America,1973
47487,North America,1973
47488,North America,1973
47489,North America,1973
47490,North America,1973
47512,North America,1991
47515,North America,1978
47516,North America,1979
47517,North America,1979
47518,North America,1980
47521,North America,1992
47522,North America,1992
47523,North America,1992
47524,North America,1992
47525,North America,1992
47526,North America,1992
47527,North America,1992
47528,North America,1992
47529,North America,1992
47530,North America,1992
47570,North America,1998
47571,North America,1998
47572,North America,1998
47580,Asia,1980
47581,Asia,1986
47582,Asia,1993
47583,Asia,1993
47584,Asia,1993
47585,Asia,1993
47586,Asia,1993
47587,Asia,1995
47588,Asia,1995
47589,Asia,1995
47633,North America,2000
47685,Asia,1999
47686,Asia,1999
47687,Asia,1999
47688,Asia,1999
47689,Asia,1999
47690,Asia,1999
47691,Asia,1999
47692,Asia,1999
47693,,1992
47694,,1992
47695,,1992
47696,,1997
47697,,1997
47698,,1997
47699,,1997
47700,,1997
47701,,1999
47702,,1999
47703,,1999
47704,,1999
47713,North America,1981
47714,North America,1970
47777,Africa,1989
47790,North America,1988
47791,North America,1988
47792,North America,1989
47793,North America,1988
47794,North America,1988
47795,North America,1985
47796,North America,1990
47797,North America,1988
47798,North America,1988
47799,North America,1988
47800,North America,1988
47801,North America,1988
47802,North America,1988
47803,North America,1988
47804,North America,1988
47805,North America,1988
47806,North America,1988
47807,North America,1988
47808,North America,1988
47809,North America,1988
47810,North America,1989
47811,North America,1989
47812,North America,1989
47813,North America,1989
47814,North America,1989
47815,North America,1989
47816,North America,1990
47817,North America,1990
47818,Asia,1990
47819,North America,1989
47820,North America,1989
47821,North America,1989
47822,North America,1989
47823,North America,1989
47824,North America,1989
47825,North America,1989
47826,North America,1989
47827,North America,1989
47828,North America,1989
47829,North America,1989
47830,North America,1989
47831,North America,1990
47832,North America,1983
47833,North America,1989
47834,North America,1989
47835,North America,1989
47836,North America,1989
47837,North America,1989
47838,North America,1989
47839,North America,1989
47840,North America,1989
47841,North America,1989
47842,North America,1989
47843,North America,1989
47844,North America,1989
47845,North America,1989
47846,North America,1989
47848,North America,2000
47849,North America,2000
47850,North America,2000
47851,North America,2000
47852,North America,2000
47853,North America,2000
47854,North America,2000
47855,North America,2000
47856,North America,2000
47857,North America,2000
47860,North America,1964
47861,North America,1965
47862,North America,1967
47863,North America,1970
47864,North America,1970
47865,North America,1970
47866,North America,1971
47867,North America,1971
47868,North America,1972
47869,North America,1972
47870,North America,1972
47871,North America,1972
47872,North America,1973
47873,North America,1973
47874,North America,1975
47875,North America,1975
47876,North America,1975
47877,North America,1976
47878,North America,1977
47879,North America,1978
47880,North America,1980
47881,North America,1983
47882,North America,1983
47883,North America,1983
47884,North America,1983
47885,North America,1983
47886,North America,1984
47887,North America,1987
47888,North America,1988
47889,North America,1991
47890,North America,1975
47891,North America,2000
47892,North America,2000
47893,North America,2000
47894,North America,2000
47895,North America,2000
47896,North America,2000
47897,North America,2000
47898,North America,2000
47899,North America,2000
47900,North America,2000
47901,North America,2000
47902,North America,2000
47903,North America,2000
47909,North America,1999
47910,North America,1999
47911,North America,2002
47912,North America,2002
47921,North America,1997
47922,North America,1997
47923,North America,1997
47924,North America,1997
47925,North America,1997
47926,North America,1997
47927,North America,1997
47928,North America,1997
47929,North America,1988
47930,North America,1988
47931,North America,1988
47932,North America,1980
47933,North America,1981
47968,North America,1979
47969,North America,1979
47970,North America,1979
47971,North America,1979
47972,North America,1979
47973,North America,1979
47974,North America,1979
47975,North America,1979
47976,North America,1979
47977,North America,1979
47978,North America,1979
47979,North America,1976
47980,North America,1976
47981,North America,1976
47982,North America,1976
47983,North America,1976
47984,North America,1976
47985,North America,1976
47986,North America,1976
47987,North America,1976
47988,North America,1976
47989,North America,1976
47990,North America,1976
47991,North America,1977
47992,North America,1976
47993,North America,2000
47994,North America,1978
47995,North America,1978
47996,North America,1978
47997,North America,1978
47998,North America,1978
47999,Asia,1976
48000,North America,1990
48001,North America,2001
48002,North America,2001
48003,North America,2001
48004,North America,2001
48005,North America,2001
48006,North America,2001
48007,North America,2001
48008,North America,2000
48009,North America,2000
48010,North America,1997
48011,North America,1997
48012,North America,1997
48013,North America,1995
48014,North America,1995
48015,North America,1995
48016,North America,1995
48017,North America,1995
48018,North America,1995
48019,North America,1995
48020,North America,1995
48021,North America,1995
48022,North America,1994
48023,North America,1990
48024,North America,1990
48025,North America,1987
48026,North America,1997
48027,North America,1997
48028,North America,1997
48029,North America,1997
48030,North America,1997
48031,North America,1997
48032,North America,1997
48033,North America,1997
