,acquisitionYear,year,acquisition
501,1946,1902,presented
502,1946,1902,presented
503,1946,1902,presented
504,1946,1902,presented
505,1946,1902,presented
506,1946,1902,presented
507,1946,1902,presented
508,1946,1902,presented
509,1975,1974,purchased
510,1925,1814,presented
511,1925,1814,presented
512,1925,1816,presented
513,1925,1816,presented
514,1925,1816,presented
515,1925,1816,presented
516,1925,1816,presented
517,1925,1816,presented
518,1925,1816,presented
519,1925,1816,presented
520,1925,1816,presented
521,1925,1816,presented
522,1925,1816,presented
523,1925,1816,presented
524,1925,1816,presented
525,1925,1816,presented
526,1925,1816,presented
527,1925,1819,presented
528,1925,1819,presented
529,1925,1819,presented
530,1925,1819,presented
531,1925,1819,presented
532,1925,1816,presented
533,1925,1816,presented
534,1925,1816,presented
535,1925,1816,presented
536,1925,1819,presented
537,1925,1819,presented
538,1925,1819,presented
539,1925,1819,presented
540,1925,1819,presented
541,1925,1819,presented
542,1925,1819,presented
543,1925,1819,presented
544,1925,1819,presented
545,1925,1819,presented
546,1925,1819,presented
547,1925,1819,presented
548,1927,1859,bequeathed
549,1927,1859,bequeathed
550,1927,1860,bequeathed
551,1927,1860,bequeathed
552,1927,1860,bequeathed
553,1927,1860,bequeathed
554,1927,1863,bequeathed
555,1927,1861,bequeathed
556,1927,1861,bequeathed
557,1927,1861,bequeathed
558,1908,1819,presented
559,1908,1819,presented
560,1908,1819,presented
561,1908,1820,presented
562,1908,1820,presented
563,1925,1816,presented
564,2010,1986,presented
565,2010,1999,presented
566,2010,1984,presented
567,2010,2010,presented
568,2010,2004,presented
569,2011,2007,presented
570,2011,2007,presented
571,2011,2007,presented
572,2011,2007,presented
573,2011,1969,presented
574,2011,1976,presented
575,2011,1977,presented
576,2011,1979,presented
577,2011,1979,presented
578,2011,1982,presented
579,2011,1983,presented
580,2011,1984,presented
581,2011,1987,presented
582,2011,1988,presented
583,2011,1989,presented
584,2012,2008,presented
585,2012,2008,presented
586,2012,2011,presented
587,2012,2007,presented
588,2012,2011,presented
589,2012,2011,presented
590,2012,2011,presented
591,2012,2010,presented
592,2012,2010,presented
593,2012,2010,presented
594,2012,2010,presented
595,2012,2010,presented
596,2012,2010,presented
597,2012,1983,presented
598,2013,1988,presented
599,2013,1988,presented
600,1856,1787,accepted
601,1856,1787,accepted
602,1856,1787,accepted
603,1856,1791,accepted
604,1856,1789,accepted
605,1856,1789,accepted
606,1856,1789,accepted
607,1856,1789,accepted
608,1856,1789,accepted
609,1856,1789,accepted
610,1856,1789,accepted
611,1856,1789,accepted
612,1856,1789,accepted
613,1856,1789,accepted
614,1856,1789,accepted
615,1856,1789,accepted
616,1856,1789,accepted
617,1856,1789,accepted
618,1856,1789,accepted
619,1856,1789,accepted
620,1856,1789,accepted
621,1856,1789,accepted
622,1856,1789,accepted
623,1856,1789,accepted
624,1856,1789,accepted
625,1856,1789,accepted
626,1856,1789,accepted
627,1856,1789,accepted
628,1856,1789,accepted
629,1856,1789,accepted
630,1856,1789,accepted
631,1856,1789,accepted
632,1856,1789,accepted
633,1856,1789,accepted
634,1856,1789,accepted
635,1856,1789,accepted
636,1856,1789,accepted
637,1856,1789,accepted
638,1856,1789,accepted
639,1856,1789,accepted
640,1856,1789,accepted
641,1856,1787,accepted
642,1856,1789,accepted
643,1856,1789,accepted
644,1856,1789,accepted
645,1856,1789,accepted
646,1856,1791,accepted
647,1856,1787,accepted
648,1856,1792,accepted
649,1856,1791,accepted
650,1856,1792,accepted
651,1856,1792,accepted
652,1856,1792,accepted
653,1856,1792,accepted
654,1856,1792,accepted
655,1856,1792,accepted
656,1856,1792,accepted
657,1856,1792,accepted
658,1856,1793,accepted
659,1856,1791,accepted
660,1856,1791,accepted
661,1856,1793,accepted
662,1856,1791,accepted
663,1856,1791,accepted
664,1856,1790,accepted
665,1856,1793,accepted
666,1856,1791,accepted
667,1856,1791,accepted
668,1856,1791,accepted
669,1856,1791,accepted
670,1856,1791,accepted
671,1856,1791,accepted
672,1856,1791,accepted
673,1856,1791,accepted
674,1856,1791,accepted
675,1856,1791,accepted
676,1856,1791,accepted
677,1856,1791,accepted
678,1856,1791,accepted
679,1856,1791,accepted
680,1856,1791,accepted
681,1856,1791,accepted
682,1856,1791,accepted
683,1856,1791,accepted
684,1856,1791,accepted
685,1856,1791,accepted
686,1856,1791,accepted
687,1856,1791,accepted
688,1856,1791,accepted
689,1856,1791,accepted
690,1856,1791,accepted
691,1856,1791,accepted
692,1856,1791,accepted
693,1856,1791,accepted
694,1856,1791,accepted
695,1856,1791,accepted
696,1856,1791,accepted
697,1856,1791,accepted
698,1856,1791,accepted
699,1856,1791,accepted
700,1856,1791,accepted
701,1856,1791,accepted
702,1856,1791,accepted
703,1856,1791,accepted
704,1856,1791,accepted
705,1856,1791,accepted
706,1856,1791,accepted
707,1856,1791,accepted
708,1856,1791,accepted
709,1856,1790,accepted
710,1856,1792,accepted
711,1856,1793,accepted
712,1856,1792,accepted
713,1856,1792,accepted
714,1856,1792,accepted
715,1856,1792,accepted
716,1856,1792,accepted
717,1856,1792,accepted
718,1856,1791,accepted
719,1856,1789,accepted
720,1856,1793,accepted
721,1856,1792,accepted
722,1856,1792,accepted
723,1856,1792,accepted
724,1856,1792,accepted
725,1856,1792,accepted
726,1856,1792,accepted
727,1856,1792,accepted
728,1856,1792,accepted
729,1856,1792,accepted
730,1856,1792,accepted
731,1856,1792,accepted
732,1856,1792,accepted
733,1856,1792,accepted
734,1856,1792,accepted
735,1856,1792,accepted
736,1856,1792,accepted
737,1856,1792,accepted
738,1856,1792,accepted
739,1856,1792,accepted
740,1856,1793,accepted
741,1856,1792,accepted
742,1856,1793,accepted
743,1856,1793,accepted
744,1856,1793,accepted
745,1856,1792,accepted
746,1856,1793,accepted
747,1856,1793,accepted
748,1856,1792,accepted
749,1856,1792,accepted
750,1856,1794,accepted
751,1856,1794,accepted
752,1856,1794,accepted
753,1856,1793,accepted
754,1856,1792,accepted
755,1856,1793,accepted
756,1856,1793,accepted
757,1856,1793,accepted
758,1856,1793,accepted
759,1856,1793,accepted
760,1856,1793,accepted
761,1856,1793,accepted
762,1856,1793,accepted
763,1856,1793,accepted
764,1856,1794,accepted
765,1856,1793,accepted
766,1856,1793,accepted
767,1856,1795,accepted
768,1856,1793,accepted
769,1856,1792,accepted
770,1856,1793,accepted
771,1856,1792,accepted
772,1856,1792,accepted
773,1856,1793,accepted
774,1856,1792,accepted
775,1856,1792,accepted
776,1856,1792,accepted
777,1856,1791,accepted
778,1856,1792,accepted
779,1856,1791,accepted
780,1856,1790,accepted
781,1856,1795,accepted
782,1856,1792,accepted
783,1856,1792,accepted
784,1856,1791,accepted
785,1856,1792,accepted
786,1856,1792,accepted
787,1856,1792,accepted
788,1856,1789,accepted
789,1856,1793,accepted
790,1856,1794,accepted
791,1856,1794,accepted
792,1856,1794,accepted
793,1856,1794,accepted
794,1856,1796,accepted
795,1856,1796,accepted
796,1856,1796,accepted
797,1856,1796,accepted
798,1856,1793,accepted
799,1856,1797,accepted
800,1856,1794,accepted
801,1856,1794,accepted
802,1856,1794,accepted
803,1856,1794,accepted
804,1856,1794,accepted
805,1856,1794,accepted
806,1856,1794,accepted
807,1856,1794,accepted
808,1856,1794,accepted
809,1856,1794,accepted
810,1856,1794,accepted
811,1856,1794,accepted
812,1856,1794,accepted
813,1856,1794,accepted
814,1856,1794,accepted
815,1856,1794,accepted
816,1856,1794,accepted
817,1856,1794,accepted
818,1856,1794,accepted
819,1856,1794,accepted
820,1856,1794,accepted
821,1856,1794,accepted
822,1856,1794,accepted
823,1856,1794,accepted
824,1856,1794,accepted
825,1856,1794,accepted
826,1856,1794,accepted
827,1856,1794,accepted
828,1856,1794,accepted
829,1856,1794,accepted
830,1856,1794,accepted
831,1856,1794,accepted
832,1856,1794,accepted
833,1856,1794,accepted
834,1856,1794,accepted
835,1856,1794,accepted
836,1856,1794,accepted
837,1856,1794,accepted
